start,end,provider
7590000,7599999,GTTG
7600000,7609999,ENTG
7610000,7619999,ENTG
7690000,7699999,DIGG
7700000,7709999,DIGG
7710000,7710999,GTTG
7711000,7711999,GTTG
7712000,7712999,GTTG
7714000,7714999,GTTG
7715000,7715999,GTTG
7720000,7720999,GTTG
7721000,7721999,GTTG
7722000,7722999,GTTG
7723000,7723999,GTTG
7730000,7730999,GTTG
7731000,7731999,GTTG
7732000,7732999,GTTG
7740000,7740999,GTTG
7741000,7741999,GTTG
7742000,7742999,GTTG
7744000,7744999,GTTG
7745000,7745999,GTTG
7750000,7750999,GTTG
7751000,7751999,GTTG
7752000,7752999,GTTG
7753000,7753999,GTTG
7770000,7779999,GTTG
8000000,8000009,DIGG
8621000,8621999,GTTG
8680000,8680999,GTTG
8681000,8681999,GTTG
8682000,8682999,GTTG
8683000,8683999,GTTG
8990000,8999999,GTTG
9008000,9008999,GTTG
